Instrument Aperture Threshold N_skipped_integs
nircam NRCA1_FULL 1 0
nircam NRCA2_FULL 1 0
nircam NRCA3_FULL 1 0
nircam NRCA4_FULL 1 0
nircam NRCA5_FULL 1 0
nircam NRCB1_FULL 1 0
nircam NRCB2_FULL 1 0
nircam NRCB3_FULL 1 0
nircam NRCB4_FULL 1 0
nircam NRCB5_FULL 1 0
nircam NRCA1_SUB160 10 0
nircam NRCA2_SUB160 10 0
nircam NRCA3_SUB160 10 0
nircam NRCA4_SUB160 10 0
nircam NRCA5_SUB160 10 0
nircam NRCB1_SUB160 10 0
nircam NRCB2_SUB160 10 0
nircam NRCB3_SUB160 10 0
nircam NRCB4_SUB160 10 0
nircam NRCB5_SUB160 10 0
nircam NRCA3_SUB160P 10 0
nircam NRCA5_SUB160P 10 0
nircam NRCB1_SUB160P 10 0
nircam NRCB5_SUB160P 10 0
niriss NIS_CEN 1 0
niriss NIS_SUB64 1 0
niriss NIS_SUB128 1 0
niriss NIS_SUB256 1 0
miri MIRIM_FULL 1 1
miri MIRIM_BRIGHTSKY 1 0
miri MIRIM_SUB256 1 0
miri MIRIM_SUB128 1 0
miri MIRIM_SUB64 1 0
nirspec NRS1_FULL 1 0
nirspec NRS2_FULL 1 0
nirspec NRS1_ALLSLITS 1 0
nirspec NRS2_ALLSLITS 1 0
fgs FGS1_FULL 1 0
fgs FGS2_FULL 1 0
fgs FGS1_SUB128CNTR 1 0
fgs FGS2_SUB128CNTR 1 0
