Instrument Aperture FlatThreshold DarkThreshold
nircam NRCA1_FULL_OSS 10 10
nircam NRCA2_FULL_OSS 10 10
nircam NRCA3_FULL_OSS 10 10
nircam NRCA4_FULL_OSS 10 10
nircam NRCA5_FULL_OSS 10 10
nircam NRCB1_FULL_OSS 10 10
nircam NRCB2_FULL_OSS 10 10
nircam NRCB3_FULL_OSS 10 10
nircam NRCB4_FULL_OSS 10 10
nircam NRCB5_FULL_OSS 10 10
nircam NRCALL_FULL 10 10
nircam NRCAS_FULL 10 10
nircam NRCA1_FULL 10 10
nircam NRCA2_FULL 10 10
nircam NRCA3_FULL 10 10
nircam NRCA4_FULL 10 10
nircam NRCA5_FULL 10 10
nircam NRCBS_FULL 10 10
nircam NRCB1_FULL 10 10
nircam NRCB2_FULL 10 10
nircam NRCB3_FULL 10 10
nircam NRCB4_FULL 10 10
nircam NRCB5_FULL 10 10
nircam NRCB1_FULLP 10 10
nircam NRCB5_FULLP 10 10
nircam NRCA1_SUB160 30 30
nircam NRCA2_SUB160 30 30
nircam NRCA3_SUB160 30 30
nircam NRCA4_SUB160 30 30
nircam NRCA5_SUB160 30 30
nircam NRCB1_SUB160 30 30
nircam NRCB2_SUB160 30 30
nircam NRCB3_SUB160 30 30
nircam NRCB4_SUB160 30 30
nircam NRCB5_SUB160 30 30
nircam NRCA1_SUB320 30 30
nircam NRCA2_SUB320 30 30
nircam NRCA3_SUB320 30 30
nircam NRCA4_SUB320 30 30
nircam NRCA5_SUB320 30 30
nircam NRCB1_SUB320 30 30
nircam NRCB2_SUB320 30 30
nircam NRCB3_SUB320 30 30
nircam NRCB4_SUB320 30 30
nircam NRCB5_SUB320 30 30
nircam NRCA1_SUB640 30 30
nircam NRCA2_SUB640 30 30
nircam NRCA3_SUB640 30 30
nircam NRCA4_SUB640 30 30
nircam NRCA5_SUB640 30 30
nircam NRCB1_SUB640 30 30
nircam NRCB2_SUB640 30 30
nircam NRCB3_SUB640 30 30
nircam NRCB4_SUB640 30 30
nircam NRCB5_SUB640 30 30
nircam NRCA5_GRISM256_F322W2 30 30
nircam NRCA5_GRISM128_F322W2 30 30
nircam NRCA5_GRISM64_F322W2 30 30
nircam NRCA5_GRISM256_F277W 30 30
nircam NRCA5_GRISM128_F277W 30 30
nircam NRCA5_GRISM64_F277W 30 30
nircam NRCA5_GRISM256_F356W 30 30
nircam NRCA5_GRISM128_F356W 30 30
nircam NRCA5_GRISM64_F356W 30 30
nircam NRCA5_GRISM256_F444W 30 30
nircam NRCA5_GRISM128_F444W 30 30
nircam NRCA5_GRISM64_F444W 30 30
nircam NRCA5_GRISM_F322W2 30 30
nircam NRCA5_GRISM_F277W 30 30
nircam NRCA5_GRISM_F356W 30 30
nircam NRCA5_GRISM_F444W 30 30
nircam NRCA1_GRISMTS 30 30
nircam NRCA1_GRISMTS256 30 30
nircam NRCA1_GRISMTS128 30 30
nircam NRCA1_GRISMTS64 30 30
nircam NRCA3_GRISMTS 30 30
nircam NRCA3_GRISMTS256 30 30
nircam NRCA3_GRISMTS128 30 30
nircam NRCA3_GRISMTS64 30 30
nircam NRCA5_TAGRISMTS32 30 30
nircam NRCA5_TAGRISMTS_SCI_F322W2 30 30
nircam NRCA5_TAGRISMTS_SCI_F444W 30 30
nircam NRCA3_DHSPIL 30 30
nircam NRCA3_DHSPIL_SUB96 30 30
nircam NRCA3_DHSPIL_WEDGES 30 30
nircam NRCB4_DHSPIL 30 30
nircam NRCB4_DHSPIL_SUB96 30 30
nircam NRCB4_DHSPIL_WEDGES 30 30
nircam NRCA3_FP1 30 30
nircam NRCA3_FP1_SUB8 30 30
nircam NRCA3_FP1_SUB64 30 30
nircam NRCA3_FP2MIMF 30 30
nircam NRCA1_FP3MIMF 30 30
nircam NRCA2_FP4MIMF 30 30
nircam NRCA4_FP5MIMF 30 30
nircam NRCB4_FP1 30 30
nircam NRCB4_FP1_SUB8 30 30
nircam NRCB4_FP1_SUB64 30 30
nircam NRCB4_FP2MIMF 30 30
nircam NRCB2_FP3MIMF 30 30
nircam NRCB1_FP4MIMF 30 30
nircam NRCB3_FP5MIMF 30 30
nircam NRCA3_SUB64P 30 30
nircam NRCA3_SUB160P 30 30
nircam NRCA3_SUB400P 30 30
nircam NRCA5_SUB64P 30 30
nircam NRCA5_SUB160P 30 30
nircam NRCA5_SUB400P 30 30
nircam NRCB1_SUB64P 30 30
nircam NRCB1_SUB160P 30 30
nircam NRCB1_SUB400P 30 30
nircam NRCB5_SUB64P 30 30
nircam NRCB5_SUB160P 30 30
nircam NRCB5_SUB400P 30 30
nircam NRCB5_TAPSIMG32 30 30
nircam NRCA5_GRISMC_WFSS 30 30
nircam NRCA5_GRISMR_WFSS 30 30
nircam NRCALL_GRISMC_WFSS 30 30
nircam NRCALL_GRISMR_WFSS 30 30
nircam NRCB5_GRISMC_WFSS 30 30
nircam NRCB5_GRISMR_WFSS 30 30
nircam NRCA2_MASK210R 30 30
nircam NRCA5_MASK335R 30 30
nircam NRCA5_MASK430R 30 30
nircam NRCA4_MASKSWB 30 30
nircam NRCA5_MASKLWB 30 30
nircam NRCA2_TAMASK210R 30 30
nircam NRCA5_TAMASK335R 30 30
nircam NRCA5_TAMASK430R 30 30
nircam NRCA4_TAMASKSWB 30 30
